Localidades;Periodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino M‚dio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;C¢d. IBGE
São José do Rio Preto;2016;132787;8548;19407;77472;27360;3549805
São José do Rio Preto;2017;136102;8933;20084;78870;28215;3549805
São José dos Campos;2013;211462;14166;32365;124173;40758;3549904
São José dos Campos;2014;209777;12832;29579;122555;44811;3549904
São José dos Campos;2015;201142;11047;25690;120109;44296;3549904
São José dos Campos;2016;192181;9636;23883;116107;42555;3549904
São José dos Campos;2017;187441;8471;21422;113973;43575;3549904
São Lourenço da Serra;2013;6726;1660;2447;2264;355;3549953
São Lourenço da Serra;2014;5182;1445;1290;2135;312;3549953
São Lourenço da Serra;2015;7022;1486;2437;2769;330;3549953
São Lourenço da Serra;2016;8123;1954;2810;3034;325;3549953
São Lourenço da Serra;2017;8304;2162;2542;3279;321;3549953
São Luís do Paraitinga;2013;1606;366;256;748;236;3550001
São Luís do Paraitinga;2014;1696;372;284;812;228;3550001
São Luís do Paraitinga;2015;1741;375;293;829;244;3550001
São Luís do Paraitinga;2016;1727;345;298;853;231;3550001
São Luís do Paraitinga;2017;1913;352;294;940;327;3550001
São Manuel;2013;9239;2058;1884;4310;987;3550100
São Manuel;2014;8775;1896;1654;4192;1033;3550100
São Manuel;2015;8551;1644;1639;4228;1040;3550100
São Manuel;2016;8499;1544;1568;4265;1122;3550100
São Manuel;2017;8526;1449;1594;4375;1108;3550100
São Miguel Arcanjo;2013;4600;1187;801;2062;550;3550209
São Miguel Arcanjo;2014;4492;1115;788;2054;535;3550209
São Miguel Arcanjo;2015;4424;1034;766;2083;541;3550209
São Miguel Arcanjo;2016;4393;896;785;2151;561;3550209
São Miguel Arcanjo;2017;4316;850;702;2164;600;3550209
São Paulo;2013;5247898;482001;829144;2521608;1415151;3550308
São Paulo;2014;5308401;456505;786779;2544499;1520618;3550308
São Paulo;2015;5126131;397015;733517;2463824;1531775;3550308
São Paulo;2016;4952351;358932;662555;2396414;1534450;3550308
São Paulo;2017;4867306;324945;614143;2391515;1536703;3550308
São Pedro;2013;5943;912;1312;3015;704;3550407
São Pedro;2014;6151;785;1297;3201;868;3550407
São Pedro;2015;6108;812;1214;3267;815;3550407
São Pedro;2016;6029;704;1183;3398;744;3550407
São Pedro;2017;6146;654;1181;3508;803;3550407
São Pedro do Turvo;2013;1255;462;269;401;123;3550506
São Pedro do Turvo;2014;1314;426;287;439;162;3550506
São Pedro do Turvo;2015;1344;413;306;441;184;3550506
São Pedro do Turvo;2016;1275;339;292;405;239;3550506
São Pedro do Turvo;2017;1480;403;310;527;240;3550506
São Roque;2013;20085;2437;4481;10644;2523;3550605
São Roque;2014;21455;2401;4332;11936;2786;3550605
São Roque;2015;21622;2287;4152;12280;2903;3550605
São Roque;2016;20716;1872;3747;12170;2927;3550605
São Roque;2017;20702;1872;3456;12486;2888;3550605
São Sebastião;2013;19486;2868;4719;9300;2599;3550704
São Sebastião;2014;19873;2827;4434;9894;2718;3550704
São Sebastião;2015;20523;2937;4194;10545;2847;3550704
São Sebastião;2016;20365;2734;4061;10820;2750;3550704
São Sebastião;2017;20815;2529;3862;11606;2818;3550704
São Sebastião da Grama;2013;3127;987;494;1284;362;3550803
São Sebastião da Grama;2014;3239;853;592;1433;361;3550803
São Sebastião da Grama;2015;2873;836;482;1239;316;3550803
São Sebastião da Grama;2016;3236;802;502;1483;449;3550803
São Sebastião da Grama;2017;2872;593;452;1422;405;3550803
São Simão;2013;3392;439;1011;1624;318;3550902
São Simão;2014;3606;458;895;1906;347;3550902
São Simão;2015;3508;454;816;1863;375;3550902
São Simão;2016;3338;443;780;1740;375;3550902
São Simão;2017;3526;436;783;1910;397;3550902
São Vicente;2013;41321;4504;9360;20965;6492;3551009
São Vicente;2014;41183;4048;8943;21083;7109;3551009
São Vicente;2015;41194;3989;8476;21578;7151;3551009
São Vicente;2016;36967;3348;6969;19916;6734;3551009
São Vicente;2017;35384;2983;6447;18910;7044;3551009
Sarapuí;2013;2003;326;433;1117;127;3551108
Sarapuí;2014;1931;306;403;1098;124;3551108
Sarapuí;2015;1800;295;373;1010;122;3551108
Sarapuí;2016;1792;259;367;952;214;3551108
Sarapuí;2017;1669;245;318;927;179;3551108
Sarutaiá;2013;475;125;86;195;69;3551207
Sarutaiá;2014;453;115;107;169;62;3551207
Sarutaiá;2015;500;121;122;177;80;3551207
Sarutaiá;2016;457;104;83;197;73;3551207
Sarutaiá;2017;543;119;90;262;72;3551207
Sebastianópolis do Sul;2013;2977;807;714;1234;222;3551306
Sebastianópolis do Sul;2014;2964;793;688;1258;225;3551306
Sebastianópolis do Sul;2015;2672;708;583;1158;223;3551306
Sebastianópolis do Sul;2016;2352;567;535;1041;209;3551306
Sebastianópolis do Sul;2017;2349;532;527;1050;240;3551306
Serra Azul;2013;825;174;192;337;122;3551405
Serra Azul;2014;944;254;195;371;124;3551405
Serra Azul;2015;854;103;165;427;159;3551405
Serra Azul;2016;774;103;149;403;119;3551405
Serra Azul;2017;772;96;140;413;123;3551405
Serra Negra;2013;6497;1133;2093;2712;559;3551603
Serra Negra;2014;6976;1176;2149;3012;639;3551603
Serra Negra;2015;6870;1083;1913;3221;653;3551603
Serra Negra;2016;6734;1023;1724;3312;675;3551603
Serra Negra;2017;6675;1023;1607;3370;675;3551603
Serrana;2013;7453;1885;1519;3188;861;3551504
Serrana;2014;6833;1696;1354;2936;847;3551504
Serrana;2015;6694;1498;1248;3043;905;3551504
Serrana;2016;6817;1509;1203;3256;849;3551504
Serrana;2017;7064;1505;1340;3307;912;3551504
Sertãozinho;2013;47390;8506;13766;19971;5147;3551702
Sertãozinho;2014;45777;7709;12732;19928;5408;3551702
Sertãozinho;2015;42589;6920;11123;19122;5424;3551702
Sertãozinho;2016;40912;6405;10211;18894;5402;3551702
Sertãozinho;2017;39879;6106;9346;18778;5649;3551702
Sete Barras;2013;1717;525;495;577;120;3551801
Sete Barras;2014;1775;502;503;655;115;3551801
Sete Barras;2015;1780;483;532;642;123;3551801
Sete Barras;2016;1830;468;568;671;123;3551801
Sete Barras;2017;1780;467;523;642;148;3551801
Severínia;2013;2378;487;569;1052;270;3551900
Severínia;2014;2291;494;492;1039;266;3551900
Severínia;2015;2028;390;431;942;265;3551900
Severínia;2016;2222;471;427;1019;305;3551900
Severínia;2017;2204;466;394;971;373;3551900
Silveiras;2013;709;273;85;271;80;3552007
Silveiras;2014;747;278;82;301;86;3552007
Silveiras;2015;754;274;80;316;84;3552007
Silveiras;2016;739;260;68;274;137;3552007
Silveiras;2017;819;247;77;354;141;3552007
Socorro;2013;7111;1060;1671;3548;832;3552106
Socorro;2014;7439;1030;1722;3765;922;3552106
Socorro;2015;7324;914;1592;3869;949;3552106
Socorro;2016;7678;870;1519;4270;1019;3552106
Socorro;2017;7754;816;1534;4384;1020;3552106
Sorocaba;2013;206073;14804;33460;127132;30677;3552205
Sorocaba;2014;211073;14495;33161;129250;34167;3552205
Sorocaba;2015;199745;12589;30271;123290;33595;3552205
Sorocaba;2016;191446;11213;27521;119438;33274;3552205
Sorocaba;2017;191120;10238;25986;118465;36431;3552205
Sud Mennucci;2013;1384;277;283;521;303;3552304
Sud Mennucci;2014;1235;214;233;496;292;3552304
Sud Mennucci;2015;1277;210;252;528;287;3552304
Sud Mennucci;2016;1261;141;252;570;298;3552304
Sud Mennucci;2017;1344;130;274;644;296;3552304
Sumaré;2013;52998;4050;10762;30581;7605;3552403
Sumaré;2014;54770;3826;10539;30991;9414;3552403
Sumaré;2015;55637;4003;9759;32540;9335;3552403
Sumaré;2016;54331;3666;9124;32146;9395;3552403
Sumaré;2017;57067;3646;9195;34622;9604;3552403
Suzanápolis;2013;1326;483;152;504;187;3552551
Suzanápolis;2014;1438;506;202;531;199;3552551
Suzanápolis;2015;1492;493;218;575;206;3552551
Suzanápolis;2016;1503;411;249;603;240;3552551
Suzanápolis;2017;1634;407;289;666;272;3552551
Suzano;2013;53573;3765;8524;34306;6978;3552502
Suzano;2014;54368;3625;8344;34730;7669;3552502
Suzano;2015;54701;3259;7697;35958;7787;3552502
Suzano;2016;53706;3063;6970;35284;8389;3552502
Suzano;2017;56357;2758;7100;37698;8801;3552502
Tabapuã;2013;2332;442;613;1033;244;3552601
Tabapuã;2014;2376;455;638;1045;238;3552601
Tabapuã;2015;2248;397;599;997;255;3552601
Tabapuã;2016;1908;343;456;860;249;3552601
Tabapuã;2017;1960;331;454;870;305;3552601
Tabatinga;2013;3800;1619;1098;783;300;3552700
Tabatinga;2014;3550;1321;1144;752;333;3552700
Tabatinga;2015;3164;1027;521;1255;361;3552700
Tabatinga;2016;2883;710;538;1315;320;3552700
Tabatinga;2017;3703;1328;603;1431;341;3552700
Taboão da Serra;2013;62184;6639;14035;33324;8186;3552809
Taboão da Serra;2014;61780;5514;12587;34167;9512;3552809
Taboão da Serra;2015;62382;4772;12454;35957;9199;3552809
Taboão da Serra;2016;60655;4155;10822;35633;10045;3552809
Taboão da Serra;2017;59267;3848;9933;34746;10740;3552809
Taciba;2013;847;73;457;243;74;3552908
Taciba;2014;839;69;342;310;118;3552908
Taciba;2015;815;76;331;275;133;3552908
Taciba;2016;754;63;228;297;166;3552908
Taciba;2017;828;54;236;359;179;3552908
Taguaí;2013;4401;1024;1568;1574;235;3553005
Taguaí;2014;4640;1061;1488;1863;228;3553005
Taguaí;2015;4242;951;1084;1948;259;3553005
Taguaí;2016;4584;1069;803;2438;274;3553005
Taguaí;2017;4554;1132;634;2514;274;3553005
Taiaçu;2013;630;159;124;234;113;3553104
Taiaçu;2014;628;168;128;218;114;3553104
Taiaçu;2015;600;143;128;216;113;3553104
Taiaçu;2016;580;135;112;208;125;3553104
Taiaçu;2017;637;138;111;252;136;3553104
Taiúva;2013;789;217;191;272;109;3553203
Taiúva;2014;748;220;173;244;111;3553203
Taiúva;2015;743;222;153;247;121;3553203
Taiúva;2016;768;225;164;249;130;3553203
Taiúva;2017;749;193;178;246;132;3553203
Tambaú;2013;6317;1873;1505;2337;602;3553302
Tambaú;2014;6747;1878;1551;2681;637;3553302
Tambaú;2015;6736;1809;1501;2746;680;3553302
Tambaú;2016;5995;1525;1272;2528;670;3553302
Tambaú;2017;5566;1427;1185;2339;615;3553302
Tanabi;2013;5141;1065;899;2423;754;3553401
Tanabi;2014;5325;1017;944;2521;843;3553401
Tanabi;2015;5463;1058;1038;2582;785;3553401
Tanabi;2016;5149;894;893;2596;766;3553401
Tanabi;2017;5248;904;910;2611;823;3553401
Tapiraí;2013;1154;234;344;459;117;3553500
Tapiraí;2014;1194;210;358;503;123;3553500
Tapiraí;2015;1184;181;381;493;129;3553500
Tapiraí;2016;1167;136;386;516;129;3553500
Tapiraí;2017;1165;152;397;489;127;3553500
Tapiratiba;2013;2811;1120;470;874;347;3553609
Tapiratiba;2014;2929;1149;472;954;354;3553609
Tapiratiba;2015;3135;1143;518;1044;430;3553609
Tapiratiba;2016;3214;1107;462;1191;454;3553609
Tapiratiba;2017;3214;1035;397;1317;465;3553609
Taquaral;2013;500;172;138;141;49;3553658
Taquaral;2014;556;163;144;181;68;3553658
Taquaral;2015;563;158;142;201;62;3553658
Taquaral;2016;534;143;139;179;73;3553658
Taquaral;2017;520;133;121;187;79;3553658
Taquaritinga;2013;10851;2009;2310;5008;1524;3553708
Taquaritinga;2014;11095;1996;2348;5347;1404;3553708
Taquaritinga;2015;10759;1886;2146;5333;1394;3553708
Taquaritinga;2016;10732;1815;1993;5364;1560;3553708
Taquaritinga;2017;10923;1791;1855;5607;1670;3553708
Taquarituba;2013;4957;540;1251;2677;489;3553807
Taquarituba;2014;4864;393;1186;2748;537;3553807
Taquarituba;2015;4831;469;1049;2749;564;3553807
Taquarituba;2016;4760;405;789;2978;588;3553807
Taquarituba;2017;4764;349;710;3103;602;3553807
Taquarivaí;2013;1499;281;492;594;132;3553856
Taquarivaí;2014;1413;312;500;445;156;3553856
Taquarivaí;2015;1412;270;524;461;157;3553856
Taquarivaí;2016;1261;178;471;456;156;3553856
Taquarivaí;2017;1240;157;469;450;164;3553856
Tarabai;2013;827;104;170;426;127;3553906
Tarabai;2014;879;104;161;452;162;3553906
Tarabai;2015;918;111;182;473;152;3553906
Tarabai;2016;959;114;201;510;134;3553906
Tarabai;2017;963;105;184;509;165;3553906
Tarumã;2013;6526;1038;1265;3575;648;3553955
Tarumã;2014;6077;971;1149;3316;641;3553955
Tarumã;2015;5467;828;1047;2969;623;3553955
Tarumã;2016;5279;827;1012;2844;596;3553955
Tarumã;2017;5530;780;1005;3092;653;3553955
Tatuí;2013;32191;3759;6513;17878;4041;3554003
Tatuí;2014;31041;3250;5874;17706;4211;3554003
Tatuí;2015;30074;3409;5467;17011;4187;3554003
Tatuí;2016;28719;2862;4652;17024;4181;3554003
Tatuí;2017;28446;2383;4262;17511;4290;3554003
Taubaté;2013;88504;8129;14124;51785;14466;3554102
Taubaté;2014;84964;7172;13228;49961;14603;3554102
Taubaté;2015;82146;6473;12069;48887;14717;3554102
Taubaté;2016;78419;5006;10132;46397;16884;3554102
Taubaté;2017;79269;4867;10161;47257;16984;3554102
Tejupá;2013;710;163;104;373;70;3554201
Tejupá;2014;760;204;90;395;71;3554201
Tejupá;2015;819;250;100;389;80;3554201
Tejupá;2016;803;246;112;348;97;3554201
Tejupá;2017;857;240;105;397;115;3554201
Teodoro Sampaio;2013;4703;854;1018;2394;437;3554300
Teodoro Sampaio;2014;4162;709;802;2195;456;3554300
Teodoro Sampaio;2015;3841;602;717;2057;465;3554300
Teodoro Sampaio;2016;3338;420;542;1882;494;3554300
Teodoro Sampaio;2017;3245;381;515;1828;521;3554300
Terra Roxa;2013;1165;244;298;401;222;3554409
Terra Roxa;2014;1076;223;276;387;190;3554409
Terra Roxa;2015;1153;218;289;439;207;3554409
Terra Roxa;2016;1185;206;290;464;225;3554409
Terra Roxa;2017;1196;200;272;498;226;3554409
Tietê;2013;14421;2877;3118;6853;1573;3554508
Tietê;2014;14942;2576;3154;7473;1739;3554508
Tietê;2015;14527;2461;3009;7212;1845;3554508
Tietê;2016;14122;2292;3016;7091;1723;3554508
Tietê;2017;14090;2158;2776;7302;1854;3554508
Timburi;2013;405;106;48;192;59;3554607
Timburi;2014;378;74;57;194;53;3554607
Timburi;2015;389;80;57;184;68;3554607
Timburi;2016;391;82;68;179;62;3554607
Timburi;2017;399;73;51;191;84;3554607
Torre de Pedra;2013;232;40;38;115;39;3554656
Torre de Pedra;2014;238;40;38;116;44;3554656
Torre de Pedra;2015;250;37;50;119;44;3554656
Torre de Pedra;2016;242;38;46;111;47;3554656
Torre de Pedra;2017;247;37;43;117;50;3554656
Torrinha;2013;1913;362;550;808;193;3554706
Torrinha;2014;2006;361;579;859;207;3554706
Torrinha;2015;2078;343;594;927;214;3554706
Torrinha;2016;1969;338;468;970;193;3554706
Torrinha;2017;2097;320;537;1025;215;3554706
Trabiju;2013;361;86;88;136;51;3554755
Trabiju;2014;447;136;111;151;49;3554755
Trabiju;2015;425;118;107;154;46;3554755
Trabiju;2016;418;109;115;138;56;3554755
Trabiju;2017;402;87;118;133;64;3554755
Tremembé;2013;4769;606;894;2676;593;3554805
Tremembé;2014;4679;582;843;2654;600;3554805
Tremembé;2015;4475;508;797;2592;578;3554805
Tremembé;2016;4300;454;702;2468;676;3554805
Tremembé;2017;4576;450;696;2620;810;3554805
Três Fronteiras;2013;612;164;104;235;109;3554904
Três Fronteiras;2014;592;146;99;243;104;3554904
Três Fronteiras;2015;637;159;95;277;106;3554904
Três Fronteiras;2016;707;151;119;328;109;3554904
Três Fronteiras;2017;655;118;97;317;123;3554904
Tuiuti;2013;641;189;132;236;84;3554953
Tuiuti;2014;602;166;120;213;103;3554953
Tuiuti;2015;649;180;111;246;112;3554953
Tuiuti;2016;657;176;103;255;123;3554953
Tuiuti;2017;680;157;107;271;145;3554953
Tupã;2013;16176;1322;2337;10283;2234;3555000
Tupã;2014;16869;1289;2575;10731;2274;3555000
Tupã;2015;16449;1207;2487;10484;2271;3555000
Tupã;2016;15940;1082;2132;10571;2155;3555000
Tupã;2017;16282;1043;1974;10932;2333;3555000
Tupi Paulista;2013;2337;350;295;1234;458;3555109
Tupi Paulista;2014;2373;305;296;1336;436;3555109
Tupi Paulista;2015;2436;262;283;1434;457;3555109
Tupi Paulista;2016;2204;256;272;1265;411;3555109
Tupi Paulista;2017;2252;255;271;1295;431;3555109
Turiúba;2013;349;70;64;161;54;3555208
Turiúba;2014;351;68;61;170;52;3555208
Turiúba;2015;338;63;58;166;51;3555208
Turiúba;2016;309;49;55;134;71;3555208
Turiúba;2017;290;41;50;123;76;3555208
Turmalina;2013;365;106;52;123;84;3555307
Turmalina;2014;375;101;59;130;85;3555307
Turmalina;2015;353;94;51;125;83;3555307
Turmalina;2016;331;100;54;107;70;3555307
Turmalina;2017;325;95;52;105;73;3555307
Ubarana;2013;1535;452;327;601;155;3555356
Ubarana;2014;1511;464;354;541;152;3555356
Ubarana;2015;1486;424;352;556;154;3555356
Ubarana;2016;1435;363;350;560;162;3555356
Ubarana;2017;1420;328;335;593;164;3555356
Ubatuba;2013;16219;1734;3283;9889;1313;3555406
Ubatuba;2014;17104;1738;3405;10413;1548;3555406
Ubatuba;2015;18020;1628;3254;11564;1574;3555406
Ubatuba;2016;18375;1502;3004;12248;1621;3555406
Ubatuba;2017;18470;1464;2901;12391;1714;3555406
Ubirajara;2013;932;321;213;284;114;3555505
Ubirajara;2014;971;313;219;333;106;3555505
Ubirajara;2015;996;295;229;371;101;3555505
Ubirajara;2016;1010;289;249;371;101;3555505
Ubirajara;2017;1120;324;266;422;108;3555505
Uchoa;2013;1379;137;402;639;201;3555604
Uchoa;2014;1301;131;331;613;226;3555604
Uchoa;2015;1163;108;292;555;208;3555604
Uchoa;2016;1232;77;258;604;293;3555604
Uchoa;2017;1459;122;314;689;334;3555604
União Paulista;2013;263;48;38;124;53;3555703
União Paulista;2014;278;59;45;129;45;3555703
União Paulista;2015;266;50;41;126;49;3555703
União Paulista;2016;274;62;32;127;53;3555703
União Paulista;2017;106;41;17;34;14;3555703
Urânia;2013;1355;235;287;672;161;3555802
Urânia;2014;1359;226;272;707;154;3555802
Urânia;2015;1236;177;230;678;151;3555802
Urânia;2016;1170;139;197;712;122;3555802
Urânia;2017;1201;127;194;738;142;3555802
Uru;2013;282;129;52;65;36;3555901
Uru;2014;278;129;52;59;38;3555901
Uru;2015;275;119;46;71;39;3555901
Uru;2016;299;109;68;78;44;3555901
Uru;2017;304;76;92;91;45;3555901
Urupês;2013;2683;484;480;1405;314;3556008
Urupês;2014;2725;472;448;1475;330;3556008
Urupês;2015;2596;439;431;1415;311;3556008
Urupês;2016;2366;347;411;1278;330;3556008
Urupês;2017;2505;313;421;1452;319;3556008
Valentim Gentil;2013;3541;255;500;2563;223;3556107
Valentim Gentil;2014;3640;304;655;2425;256;3556107
Valentim Gentil;2015;3861;285;513;2784;279;3556107
Valentim Gentil;2016;3303;184;442;2399;278;3556107
Valentim Gentil;2017;3190;166;388;2334;302;3556107
Valinhos;2013;42746;3630;9583;21956;7577;3556206
Valinhos;2014;43169;3474;8933;22767;7995;3556206
Valinhos;2015;44223;3394;8807;23032;8990;3556206
Valinhos;2016;43690;3073;8188;23348;9081;3556206
Valinhos;2017;45013;2949;7886;24680;9498;3556206
Valparaíso;2013;5637;1164;1206;2597;670;3556305
Valparaíso;2014;5523;1116;1142;2555;710;3556305
Valparaíso;2015;5755;1159;1176;2710;710;3556305
Valparaíso;2016;5318;976;1078;2564;700;3556305
Valparaíso;2017;5733;1065;1195;2764;709;3556305
Vargem;2013;1038;189;284;413;152;3556354
Vargem;2014;995;195;248;409;143;3556354
Vargem;2015;941;158;251;406;126;3556354
Vargem;2016;913;164;238;382;129;3556354
Vargem;2017;921;142;221;422;136;3556354
Vargem Grande do Sul;2013;8321;2361;1751;3448;761;3556404
Vargem Grande do Sul;2014;8263;2015;1696;3686;866;3556404
Vargem Grande do Sul;2015;7692;1753;1605;3428;906;3556404
Vargem Grande do Sul;2016;7366;1502;1484;3479;901;3556404
Vargem Grande do Sul;2017;7497;1497;1415;3618;967;3556404
Vargem Grande Paulista;2013;11427;1499;2681;5913;1334;3556453
Vargem Grande Paulista;2014;11008;1418;2496;5838;1256;3556453
Vargem Grande Paulista;2015;13650;2450;2555;7095;1550;3556453
Vargem Grande Paulista;2016;10743;1150;1951;6095;1547;3556453
Vargem Grande Paulista;2017;11125;986;1843;6658;1638;3556453
Várzea Paulista;2013;17809;2502;4351;8342;2614;3556503
Várzea Paulista;2014;18151;2440;4300;8715;2696;3556503
Várzea Paulista;2015;17136;2233;3757;8417;2729;3556503
Várzea Paulista;2016;16631;2070;3338;8384;2839;3556503
Várzea Paulista;2017;16851;1931;3206;8735;2979;3556503
Vera Cruz;2013;1254;366;160;548;180;3556602
Vera Cruz;2014;1272;310;203;555;204;3556602
Vera Cruz;2015;1297;293;195;599;210;3556602
Vera Cruz;2016;1213;251;171;625;166;3556602
Vera Cruz;2017;1209;223;164;633;189;3556602
Vinhedo;2013;37419;5365;6524;19815;5715;3556701
Vinhedo;2014;38950;4949;6471;21299;6231;3556701
Vinhedo;2015;36210;3934;5591;19784;6901;3556701
Vinhedo;2016;35172;3631;5751;18965;6825;3556701
Vinhedo;2017;34648;3303;5322;19388;6635;3556701
Viradouro;2013;3130;424;706;1591;409;3556800
Viradouro;2014;3021;433;703;1493;392;3556800
Viradouro;2015;2767;405;615;1330;417;3556800
Viradouro;2016;2699;292;606;1335;466;3556800
Viradouro;2017;3136;394;571;1642;529;3556800
Vista Alegre do Alto;2013;3528;1636;668;994;230;3556909
Vista Alegre do Alto;2014;1773;400;506;710;157;3556909
Vista Alegre do Alto;2015;3578;1254;807;1246;271;3556909
Vista Alegre do Alto;2016;3344;1156;727;1202;259;3556909
Vista Alegre do Alto;2017;3382;1151;693;1259;279;3556909
Vitória Brasil;2013;186;49;34;53;50;3556958
Vitória Brasil;2014;238;56;55;67;60;3556958
Vitória Brasil;2015;217;49;45;60;63;3556958
Vitória Brasil;2016;222;46;50;66;60;3556958
Vitória Brasil;2017;206;38;50;63;55;3556958
Votorantim;2013;19335;1336;3389;12456;2154;3557006
Votorantim;2014;19244;1156;3085;12771;2232;3557006
Votorantim;2015;19468;1022;2723;13251;2472;3557006
Votorantim;2016;18531;890;2332;12791;2518;3557006
Votorantim;2017;18485;883;2164;12504;2934;3557006
Votuporanga;2013;25048;2941;4877;13311;3919;3557105
Votuporanga;2014;25647;2840;4967;13700;4140;3557105
Votuporanga;2015;24765;2546;4698;13156;4365;3557105
Votuporanga;2016;23958;2434;4236;13053;4235;3557105
Votuporanga;2017;26835;2755;4500;15041;4539;3557105
Zacarias;2013;656;144;109;268;135;3557154
Zacarias;2014;594;143;95;247;109;3557154
Zacarias;2015;601;136;89;271;105;3557154
Zacarias;2016;576;89;123;274;90;3557154
Zacarias;2017;596;65;123;301;107;3557154
